,lambda
1,0.08455130990453479
2,0.289621632367675
3,0.08187994094836117
4,0.10212602763098198
5,0.30638489248889395
6,0.20411660999916484
7,0.14812251238465612
8,0.35974355787762663
9,0.15278940203497143
10,0.14496251010758543
11,0.14163154446180637
12,0.13574643044559784
13,0.09956859832000972
14,0.47236414357698686
15,0.13288924530338184
16,0.15571519786345028
17,0.2481897878373756
18,0.3552523914560056
19,0.05718282180412813
20,0.07941699405418295
22,0.18606395307049056
23,0.07934165686324679
24,0.16689373128348584
25,0.16452343241235762
26,0.1140239249641807
27,0.11834488585994202
28,0.234450950908219
29,0.1935878634343451
30,0.14280490983227626
31,0.20791487322928823
32,0.24444334319889496
33,0.22188411970288605
34,0.12011346725484039
36,0.23032537857929392
37,0.2148662406249319
38,0.12609050350673054
39,0.3992667167374808
40,0.198019793172133
41,0.08241647528320784
42,0.1518457172768659
43,0.24571512736394868
44,0.13889082312546167
45,0.1900067476879494
46,0.26056583184647886
47,0.3097258022011971
48,0.20217629328780984
49,0.15620602283851748
50,0.11706202533053388
51,0.08880324200505874
52,0.12969625476740054
53,0.09664972024917153
54,0.12559119575803193
55,0.28088971986583317
56,0.19992956995393452
57,0.1897796042465429
58,0.2229284229277074
60,0.09498424889731248
61,0.15759162899770965
62,0.12494291910199153
63,0.11907382145256225
64,0.3485673031723315
66,0.2130471603566579
67,0.15106097506433763
68,0.19014450326498872
69,0.10371475868533263
70,0.07952662413204957
71,0.23541231119005887
72,0.11698143738597233
73,0.27716983827582264
74,0.5598143820920687
75,0.13178146942640187
76,0.10648976725424762
77,0.2069924520185909
78,0.11340645984876463
79,0.08745295508163513
80,0.17408096315555505
81,0.14627906749995126
82,0.06038278478901836
83,0.4035100823711077
84,0.06770259631700928
85,0.3080323641441008
86,0.11071084430401279
87,0.14887121281885615
88,0.3015018172231585
89,0.15562388505301147
90,0.055410132921888865
91,0.1636786524405083
92,0.15291105531015362
93,0.13099674129995934
94,0.3147182580852407
95,0.1884797713299438
96,0.11109951724235714
97,0.20163294977113588
98,0.21501721498384008
99,0.4380685701302799
100,0.19911545580115478
101,0.32161826066727134
102,0.17880140080535709
103,0.09104461914833328
104,0.27903736893874703
105,0.21972715339324594
106,0.16451766422471495
107,0.20475324253786212
108,0.16285830595580542
109,0.5151448143374179
110,0.18177424459275754
111,0.9004955477729213
112,0.07874550356368504
113,0.1477947798354276
114,0.34233389612984055
115,0.3026794502370415
116,0.5701942723102351
117,0.17034562639414438
118,0.09039500441381282
119,0.25443507508621743
120,0.0706793901593114
121,0.14393636327501882
122,0.1987800154358931
123,0.08774111968593526
124,0.0947784270786117
125,0.20607915279488082
126,0.13638873265870285
127,0.07739927060080874
128,0.17182015272896187
129,0.25813697303501437
130,0.6638346688260823
131,0.1027120433974867
132,0.5888465166147911
133,0.3877753288620942
134,0.17841365239148851
135,0.19009081516084467
136,0.22951078872404826
138,0.3594556247512532
139,0.15135445711055495
