,alpha,beta,lambda
1,0.02017890620022561,0.03555311474848593,0.0077050576596426265
2,0.01527106498719482,0.016036203205164815,0.0012130061829343293
3,0.0046444511665453565,0.0046444511665453565,3.779972580570567e-17
4,0.009820202831830637,0.023542866322901417,0.009676464206847835
5,0.01187576237503422,0.012869061950248605,0.0012589960047066843
6,0.011428096766882213,0.011664594402862903,0.00017053264013165565
7,0.017310375580923243,0.028937427560711153,0.010587637538785584
8,0.02304022039999643,0.04740934446016881,0.030447241629246065
9,0.01620305437454439,0.0181589213419557,0.002922641848174015
10,0.010309069853640275,0.011266917921688472,0.002234722874322887
11,0.01583788323508194,0.016345675017367667,0.0013015217931437813
12,0.011054467771412554,0.01116025643755237,0.001332554946708301
13,0.008548789883746235,0.009859793798701022,0.0023508018361824705
14,0.01163418862975088,0.04969903441465035,0.0600599289913999
15,0.011615797937580923,0.013219519071408567,0.002929297587314874
16,0.01753433217228037,0.023444766461227118,0.008060412641020516
17,0.017990982961994896,0.02110745091580927,0.005639241732074498
18,0.010911675812059533,0.011507663118603156,0.0024730163847843972
19,0.008941507636687654,0.009682646632377324,0.0023342996353537047
20,0.01248756837627502,0.021764522154813115,0.007287601100038833
22,0.015666430947129464,0.0175117780246294,0.0033184236129475075
23,0.013007086291357158,0.01501598213606043,0.002845603989213437
24,0.014738303966835524,0.016292148891222387,0.0031934976063189846
25,0.015171074014938389,0.029610741413466347,0.016006840538992578
26,0.039307787247326885,0.08847855586443198,0.010590473056982927
27,0.00674529576467508,0.0076897338343610315,0.0021737063192851535
28,0.019622295204360193,0.020895234044076755,0.003115198109535563
29,0.02212462281829507,0.04146733388533244,0.015928009157548672
30,0.016932048046030865,0.024831897508244605,0.009706010468192172
31,0.019008275268066366,0.030644936991031792,0.013992585134970547
32,0.011544245430542634,0.014173457704830741,0.007037964820526409
33,0.017855093675376413,0.02295100982041992,0.008466504230753576
34,0.016089403102883655,0.029378297687801765,0.009368648165896144
36,0.02314307083037203,0.02473959995336771,0.0033478210230456825
37,0.017216714890490335,0.024873446485924842,0.011338149131117511
38,0.011302640151548346,0.015449918776924493,0.005876904572102831
39,0.012338085164815705,0.014548195798626823,0.009534435805759635
40,0.013914221977768801,0.015957100681680256,0.004502901777478569
41,0.0066768684962601145,0.007582362993645739,0.0008653015821515057
42,0.013372471519992449,0.031485860081666414,0.016098512759679287
43,0.020483810694059905,0.022666795943129682,0.0047384416767685695
44,0.003880180741816251,0.003880180741816251,1.9544986308854038e-17
45,0.019450511462199376,0.021758833563202604,0.008750662355947824
46,0.025108386200851283,0.033598128996862014,0.011846727246414064
47,0.028385492475162363,0.042421422385815824,0.017340021563394897
48,0.013938030274030516,0.0154334074578083,0.0020204333403155412
49,0.009144074760219181,0.010202708569084116,0.0008036030806172738
50,0.01290386280783802,0.019386224768381224,0.008257066045912642
51,0.015074773658374422,0.026513215417189668,0.00756246150717588
52,0.015126833739219116,0.02142406622927264,0.006357179523546449
53,0.003139020989127333,0.004045341481064544,1.970969318190636e-17
54,0.016891043337660252,0.019865179521700624,0.004602313069475991
55,0.017078853829051673,0.018896034299556982,0.003134500879884916
56,0.018086197755271566,0.01940314568590547,0.002745566815506886
57,0.005345064156743827,0.005721320096545558,0.000256302699659458
58,0.010034242276206518,0.010653903511403513,0.001848907473572807
60,0.036638699911334664,0.05819738456846209,0.007339462169072711
61,0.017066868612624967,0.05106806388461037,0.017098316123786466
62,0.020540738903906734,0.0802859553858629,0.015783728586523625
63,0.012921655212087541,0.0334391903895082,0.01273328334849996
64,0.008469132308230895,0.010321440763210822,0.006410561020372164
66,0.009296503140500595,0.00929650314050088,0.0002043776142411089
67,0.008480836542064054,0.008480836542064265,0.000498810257733469
68,0.021944897496959468,0.02408318941440882,0.0034658865768790723
69,0.00900034641884423,0.016256496899191133,0.007588190728958327
70,0.014783625010207982,0.027825748147175963,0.00704738819235019
71,0.012443230286019106,0.01282792011480394,0.0017664332330474429
72,0.012848089670077034,0.01503643611051676,0.0023575947413961634
73,0.013679974170397938,0.014741950025798785,0.0030242515549622827
74,0.026930105355817278,0.03062063528766512,0.010590404568342848
75,0.015196382187401639,0.01779908435140131,0.0036236838794367933
76,0.015972662411942565,0.021012051806310172,0.00573602168698819
77,0.015519228814096078,0.01649233739363912,0.0021656045343089506
78,0.014370878034419948,0.019306762283585858,0.005824649805998577
79,0.0050656501042440965,0.0060032111148344905,0.0016243346735061099
80,0.019224188117303007,0.042956044582175425,0.01703370613593641
81,0.013510321712988396,0.015815851710012298,0.0032817281883520464
82,0.007153096353555593,0.007153096353556015,0.000363949647502947
83,0.015555122177092049,0.016304869751539806,0.0022918431260949695
84,0.0025963568810296865,0.0026126652782910405,0.0005180697696082968
85,0.022430349998102603,0.039608548946294043,0.01916795742316097
86,0.010464536150772002,0.03667096477099419,0.013340330654293412
87,0.011438183393746245,0.012345376126813808,0.0014477333924524413
88,0.0136459469585815,0.014250074347152317,0.0014039067939522851
89,0.02186003540468378,0.031071994241506716,0.00948317600302578
90,0.011802192928802822,0.020083168534650708,0.004424361604356231
91,0.016629071817685772,0.038590945037110816,0.016416942980262604
92,0.011584506341793125,0.019055758819494235,0.00874317255166648
93,0.021905632919422834,0.035160297044788104,0.012158788769595827
94,0.02146205804045395,0.04494711238213811,0.028156713079340374
95,0.015441571931159023,0.017793206177580387,0.003974074808885811
96,0.011883189899364151,0.01877687263259278,0.006554031571734977
97,0.018043006636976246,0.022936790350693428,0.007379762191892784
98,0.017251081778352124,0.020447211037723706,0.007181471812994046
99,0.02712703079328903,0.028379606092180664,0.0025242730271212506
100,0.01762699402080726,0.02101144206154975,0.006020172171044769
101,0.02811090606932394,0.030968994269318928,0.0013153552485489456
102,0.03387832532833159,0.04081799448754895,0.004793057418180329
103,0.013888809318103748,0.018325455401576228,0.0039233449469603535
104,0.026710075190578223,0.06957811155012847,0.028402114902075015
105,0.024491384632189722,0.03276695614775364,0.0104006334856954
106,0.008463038988735598,0.008463039531572309,0.0002074528883511052
107,0.017676216501156573,0.026914328260561397,0.01241923884206644
108,0.004221009850750849,0.004854274275077613,0.0007431998207300028
