,lambda
1,0.08455134056683593
2,0.28962131532979646
3,0.08187982676815792
4,0.10212676143674848
5,0.30638647877175784
6,0.20411624108642556
7,0.14812186088752505
8,0.3597437251998082
9,0.15278951961551035
10,0.14496207524418012
11,0.14163209991897646
12,0.13574716713249604
13,0.09956891733409921
14,0.47236758277162816
15,0.13288893443309957
16,0.15571519172840642
17,0.24818859295198373
18,0.3552540797852774
19,0.05718295413792221
20,0.0794169825995974
22,0.18606386872241257
23,0.07934156359388593
24,0.16689291159679295
25,0.164523027840191
26,0.11402411741526167
27,0.11834513031328939
28,0.23445102088338113
29,0.19358737504641071
30,0.1428042961824369
31,0.20791506013234726
32,0.24444535078561405
33,0.22188540491159625
34,0.1201138806299484
36,0.23032606941882375
37,0.21486660953913234
38,0.12609022363887035
39,0.3992677002553211
40,0.19801940968057336
41,0.08241625907841597
42,0.15184596600890915
43,0.24571364259692924
44,0.1388905158364812
45,0.19000641792066295
46,0.26056587534866743
47,0.3097257520755483
48,0.2021772801175778
49,0.1562067141321875
50,0.11706222380935892
51,0.08880348269918886
52,0.1296966987494249
53,0.09664945718219702
54,0.12559044203352387
55,0.2808897411992994
56,0.1999291518451901
57,0.1897786428755206
58,0.22292832909512625
60,0.09498467289625338
61,0.15759281271593475
62,0.12494254033241563
63,0.11907381996824028
64,0.3485669434178535
66,0.21304711897596856
67,0.15106143358926943
68,0.19014481931858482
69,0.1037147876673366
70,0.07952671115686685
71,0.23541089130734016
72,0.11698142421360418
73,0.277168499406477
74,0.5598141876526719
75,0.13178101812780713
76,0.10649004868318648
77,0.20699254420602264
78,0.11340687950317173
79,0.08745326554198028
80,0.17408116898871376
81,0.14627898561680502
82,0.06038271590223326
83,0.40351093179098513
84,0.06770260828499958
85,0.30803203720460226
86,0.11071089832183827
87,0.14887111171813458
88,0.3015025445827381
89,0.1556245189123886
90,0.055410043713109966
91,0.16367921332704552
92,0.15291189256264562
93,0.1309975517865886
94,0.3147170185728151
95,0.18847972746594482
96,0.11109954636430529
97,0.2016324580644218
98,0.21501633938461484
99,0.43806867441613173
100,0.19911528870157746
101,0.3216195526415055
102,0.17880181378162718
103,0.09104478571701954
104,0.2790373930046042
105,0.2197278051402149
106,0.16451817499811458
107,0.20475453399247598
108,0.16285823074871256
109,0.5151472832669318
110,0.18177417063792364
111,0.9004916301083534
112,0.07874540503297722
113,0.1477954922209953
114,0.34233289585694526
115,0.30268028765357224
116,0.5701938353317169
117,0.17034650296162818
118,0.09039564641121631
119,0.25443596553127434
120,0.07067932050829287
121,0.14393601070412604
122,0.1987799676068538
123,0.08774141700890291
124,0.09477884585512769
125,0.2060790024394992
126,0.13638933378009566
127,0.0773994789737048
128,0.17182063321119356
129,0.25813664101707856
130,0.6638368730469271
131,0.10271234400677574
132,0.5888487084030108
133,0.3877741920188593
134,0.1784141743785775
135,0.19009077433072458
136,0.22951099463394897
138,0.3594537267852375
139,0.15135451796897623
140,0.14014239246758287
141,0.21596150363529873
142,0.1446219010301036
143,0.19348647176029465
144,0.28938941326164735
145,0.07599650737519482
146,0.156841084052763
148,0.18939280230266717
149,0.25742556851567877
150,0.17997985260815644
151,0.15909281175907417
152,0.23337617184867399
153,0.5166989829001855
154,0.349900552112818
155,0.14241620593106408
156,0.14580535792389085
157,0.22888743494180275
158,0.1473968448075577
159,0.4356810927780245
160,0.27897477733315745
161,0.12725867616247763
162,0.16625485860229613
163,0.2944040884807728
164,0.13119344564124452
165,0.07708013634259588
166,0.2754072993287655
167,0.27041452707472424
168,0.1662483314516639
169,0.3244687313719339
170,0.04962517023051915
171,0.1617796460936792
172,0.1587131414660998
173,0.15230134462610598
174,0.098975910652036
175,0.11666063949512043
176,0.1372655303803927
177,0.21428451125885553
178,0.20617691780519645
180,0.25458258765684294
181,0.10677365842862985
182,0.14195730857327105
183,0.38603302887649904
184,0.14983715465682018
185,0.2972925191263971
186,0.2937351744398518
187,0.17815166795267415
188,0.08932659446565612
189,0.10553837824291841
190,0.20683614379038553
191,1.512609844070896
192,0.43312853683365204
193,0.147686851491499
194,0.7184688495066918
195,0.21194711018607315
196,0.12225583056696578
197,0.12986884186967868
199,0.3700962511171878
200,0.2121566142101057
201,0.22697757942485172
202,0.31815242814311395
203,0.17025717638115642
204,0.08581009219088329
206,0.28565728213931135
207,0.07095685994025058
208,0.07345455684207597
209,0.1071581796520647
210,0.267540520415996
211,0.18104080139169584
212,0.08604824979892799
213,0.9307092009195641
214,0.17023613202020502
215,0.1570072524782878
216,0.2038596910251403
217,0.46583518066127894
218,0.1669624874801363
219,0.27381409219139496
220,0.17265668793169345
221,0.14805635411055681
222,0.17001524532552603
223,0.2464711442003285
224,0.3944090692253947
225,0.29730482423434923
226,0.24755492054052408
227,0.12485037424664457
228,0.33239724957171274
229,0.5218111496740889
230,0.13975039603025366
231,0.12859010075889157
232,0.03964473880530789
233,0.4316481476055449
234,0.2305928566252866
235,0.1667190810776777
236,0.12552536000378386
237,0.18338148328900414
238,0.1239851995637835
239,0.35916206120928323
240,0.046534832439697416
242,0.18727776324862738
243,0.2475706929891298
244,0.24604704963018817
245,0.11740080433009337
246,0.19525269980547078
247,0.1558170869169493
248,0.9297768607901548
249,0.1793317805812554
250,0.15013430614159248
251,0.4766652970440744
252,0.49669461670348874
253,0.2569525048791909
254,0.17233069451573882
255,0.20946617187378458
256,0.043243922373649095
257,0.158244870097164
258,0.06005384177906238
259,0.21848995446714037
260,0.2459156735663539
261,0.09247922635777375
262,0.12194440724896359
263,0.1337143666758082
264,0.20731053654677523
265,0.1470797657030542
266,0.14979580640936932
267,0.17238833396688047
268,0.18033425886293375
269,0.20253507638474808
270,0.39337820548035923
271,0.2633180098161756
272,0.32851377860682013
273,0.21663766364272102
274,0.20010345822555103
275,0.10997279374283069
276,0.12079006877086497
277,0.2422878405874259
278,0.6721157797468401
279,0.13579615617900626
280,0.2723422580563245
281,0.13562801446959918
282,0.3744186628405657
283,0.04577171409524051
284,0.15305088401635772
286,0.12618522909502503
287,0.04388449080559746
288,0.2501177016972232
289,0.08095834994343432
290,0.2818982097248186
291,0.19374135205126164
292,0.28535433189409115
293,0.09107154870078579
294,0.25946328557613674
295,0.12043403890318712
296,0.173853039335796
297,0.07238689000337303
298,0.42003562889563
299,0.09058080230600285
300,0.7265646198038952
301,0.3782905910435816
302,0.2454243478353879
303,0.8628847183552419
306,0.13048815730284344
307,0.8634978385421052
308,0.18306104456458916
309,0.2218563270800235
310,0.17751039131910892
311,0.17085568697640366
312,0.20077847689955997
313,0.21064238823517142
314,0.1560201994556832
315,0.3123882664119367
316,0.3286130496151309
317,0.07656957888892241
318,0.22382612733841942
319,0.1672912830401965
320,0.21682451315075557
321,0.37930841794510617
322,0.15056903269104152
323,0.06554013637466224
324,0.22297200889289961
325,0.13603543900724982
326,0.24606078381883997
327,0.06138850210671002
328,0.08149635582496362
329,0.2831224804643419
330,0.15109920901978663
331,0.2021197259479779
332,0.12976869105318095
333,0.21378024788495537
334,0.14507450708225902
335,0.23157215654054186
336,0.13746201560178511
337,0.1499737202233454
338,0.2973845340086933
339,0.09892307316090912
340,0.21383967022585532
341,0.5149314048919089
343,0.1606947310510361
344,0.08727822716353496
345,0.36302311322178726
347,0.18569778547710888
348,0.2118582363165215
349,0.15536356544576957
350,0.49375738007334263
351,0.20068138199103153
352,0.14202744774032272
353,0.07112444930267423
354,0.12584085932588018
356,0.40352256766653094
357,0.14948130424271458
358,0.15003012124496026
359,0.10376516309413425
360,0.20160457929046946
361,0.2754109507178586
362,0.1310028478419819
363,0.05621469857909707
364,0.10030217368771392
365,0.12208887318810087
366,0.11241070793311381
367,0.18521203079868617
368,0.21654864321930664
370,0.06978638817305122
371,0.047588014328842694
372,0.04405937728339259
373,0.05752046194946865
374,0.36925635186154254
375,0.09937585958920787
376,0.2069942806340869
377,0.09013463803080053
378,0.09521617864398213
379,0.22709340689526797
380,0.08341892783041853
381,0.16187125095818586
382,0.09185669931167477
383,0.3017206942935025
384,0.09176222041315187
386,0.44548013268511083
387,0.22237492444543397
388,0.28964473437803095
389,0.07444747470067281
390,0.11048154566016964
391,0.10362775445675523
392,0.12139519777502066
393,0.09405431546389531
394,0.10987878482992441
395,0.3264126185379011
396,0.15039086519207723
397,0.2847796764167001
398,0.14674115744661811
399,0.19747249398592195
400,0.17850451373117562
401,0.2149591880081008
402,0.1041262952375481
403,0.15989959932141495
404,0.5831911407779685
405,0.294453136093062
409,0.2566362540288126
410,0.2512340445536237
411,0.2594538608040431
412,0.11623833656315147
419,0.27178346713592794
420,0.1357769229653261
421,0.1015139203852519
423,0.12935223150443895
424,0.18934021238394927
425,0.11743225980463844
426,0.16501497313953375
427,0.39044734218446475
428,0.26460295243824594
430,0.14772434829948142
431,0.06115115057885634
432,0.08933641395231964
433,0.13332344529995716
435,0.18495637578657342
436,0.1885514344770786
437,0.18756400123824282
439,0.05514921383551252
440,0.16914481202001838
441,0.13391909605124733
442,0.08269515983141079
443,0.1767807766053697
444,0.1967236100001721
445,0.14128411638112587
446,0.1730558821659542
447,0.0807570328069342
448,0.22393560087475223
449,0.28427463654414414
450,0.1412744842356207
451,0.11815772891145629
452,0.20879448231851144
453,0.18044717848141642
454,0.09914243510922703
455,0.10659472888485348
456,0.12335729072370727
457,0.3374150731845001
458,0.21628065238255956
459,0.28132762030398517
460,0.2167280144713796
461,0.10799479383312753
462,0.24703471215754905
463,0.07367362069262606
464,0.0544935388184443
465,0.17358756022589417
466,0.11713650087004067
467,0.11429389862006645
468,0.06597354556149722
469,0.1508328883863914
470,0.15068185726775363
471,0.1559669125154063
472,0.04559165288162623
473,0.0794982117756787
475,0.1859934754020117
476,0.10707692282047554
477,0.11239553398793366
478,0.3262123789621582
479,0.2248107126306239
480,0.40727379294329175
481,0.3584577283219011
482,0.12386137266862053
483,0.20077494356997347
484,0.14913329106589182
485,0.21461149270003943
486,0.2649359978695225
487,0.10601922582711264
488,0.15001231563157008
489,0.19222112220820659
490,0.08033979518091827
491,0.18621526477207564
492,0.28490911787743584
494,0.017011298535639156
495,0.33112129917768696
496,0.1735895043087078
497,0.11284398244529506
498,0.2045854119727877
499,0.23622199446628586
500,0.2894450978405017
501,0.15697817297901914
502,0.42447404623238505
503,0.39718449858457183
504,0.08588144900792016
505,0.14240952173741941
506,0.15497036689846916
507,0.08574448540640671
508,0.2950529245544067
509,0.06730277587659306
510,0.3366503722782748
511,0.34349930855022553
512,0.2806539908369498
513,0.15384777374764322
514,0.18213203714121493
515,0.08006608322005403
516,0.1790761414746327
517,0.13635166993186248
518,0.1629367142130519
519,0.06338371826755862
520,0.13042299641218918
521,0.24777548552277867
522,0.23526944043478323
523,0.10022320964361289
524,0.17822555891352834
526,0.08979430629652745
527,0.16841021250751526
528,0.07340561233528338
529,0.1697962929895755
530,0.10808706039339785
531,0.23928404317212038
532,0.23203640158224423
533,0.16711014018513964
534,0.21575337875509212
535,0.20448647692511324
536,0.13280768453049596
537,0.17900622552134143
538,0.12176125913822655
539,0.08512060243434738
540,0.2328321871955403
541,0.508053005240339
542,0.1943893231991029
543,0.058223477436024934
544,0.09198143706100494
545,0.12209363034936693
546,0.13483392288415516
547,0.16585840111863456
548,0.05925939667161646
549,0.16264400315415964
550,0.12406889688610359
551,0.09502531407089389
552,0.17214603952815796
553,0.6747931362901535
554,0.08223351688777884
556,0.06351205300617109
557,0.09336855579486396
558,0.20681420602101025
559,0.10541373288829736
560,0.05076147949736348
561,0.1604696233493944
562,0.12738295329863697
563,0.08749788440863862
564,0.5274624249846837
565,0.10382583565159206
566,0.23568094849299157
568,0.30574296351592267
569,0.1269293848904812
570,0.22728569915005264
571,0.14998171297119028
572,0.25532306466173105
573,0.3894750303451036
574,0.3284100540882933
576,0.1196922402575061
577,0.22756011180430674
578,0.10288304327854401
579,0.4013271279088237
580,0.24047955538728785
581,0.20606778524507252
583,0.25370868354374615
584,0.17253799085881918
586,0.07387102586126137
587,0.3099866270425491
588,0.10574055449138414
589,0.2871659320976487
590,0.057621058605056945
592,0.08144488985470347
593,0.09440291821112107
594,0.06221160797271745
595,0.17274638355488287
596,0.28523692846695947
597,0.15658273483274526
598,0.19357908408656951
599,0.09799556346349081
600,0.3258779423196637
601,0.18218675962227932
602,0.22301525664382382
603,0.21927731828555755
604,0.07031919554041184
605,0.0839724479233756
606,0.07832117263622895
607,0.16257088709629103
608,0.018636169639096273
609,0.1484989384495869
610,0.21591151765506567
611,0.13835523384756887
612,0.23570406842622657
613,0.24818131883216735
614,0.10725057658807054
615,0.19057474160570623
616,0.177882822233421
617,0.094656279331437
618,0.1293018860600184
619,0.15443041288519416
620,0.1469608470021016
621,0.20062222268113342
622,0.20349440424560844
623,0.08406626654843317
624,0.1794935344965351
625,0.5548365473504379
626,0.24288948274781605
627,0.0674177037370113
628,0.15032680089602576
629,0.061130141154254754
630,0.16489564034060164
631,0.20543961171126962
632,0.09649822695392624
633,0.22143464379370165
634,0.11739389612065083
635,0.16888740232811542
636,0.13205736161213255
637,0.10731010097866812
638,0.2824385518760642
639,0.20131863224135108
640,0.2080194156927594
641,0.1536913543066763
642,0.09697841132190638
643,0.09458063630533686
644,0.17798980009429305
645,0.11935340302359254
646,0.2533089482887303
647,0.17364302563509112
648,0.0886679762910614
649,0.22034450690611
650,0.10151951242230123
651,0.13928197468052186
652,0.06076025753664718
653,0.2510774231442738
654,0.1877831675472513
655,0.13737974413739504
656,0.07249406690023288
657,0.11370017593852341
658,0.46322164882633504
659,0.27974174310440403
660,0.13963900982298028
661,0.2478910048825415
662,0.24438084962494147
663,0.1024194904649753
664,0.22119388464186607
665,0.1478520625715051
666,0.1834854852604087
667,0.22414841317534748
668,0.2898557651158324
669,0.12102563454536397
670,0.19337633500700438
671,0.18476369066132553
673,0.2227301299700393
674,0.11556256101115941
675,0.15136188597557418
676,0.21714881810160955
677,0.11468093143386979
678,0.057293526911659974
679,0.12447464469592766
680,0.2372146957653542
681,0.22224978924140015
682,0.2787416613839345
683,0.14294718438392157
684,0.19704610229473304
685,0.15610677124549893
686,0.11262228816913082
687,0.16612024323401012
688,0.09180723520885674
689,0.06667250550890366
690,0.10768193019028445
691,0.2743792552820191
692,0.36280560456294125
693,0.14489835068133114
694,0.10736089513536375
695,0.5599727593310126
696,0.09850279139664002
697,0.12695212076360216
698,0.1807589947026358
699,0.103489296796642
700,0.18032795860210202
701,0.26354533596561003
702,0.1685663112917661
703,0.16065631852534978
704,0.06462566584380072
705,0.10086759431789205
706,0.23874889992642828
707,0.12799758807285266
708,0.10513200780676574
709,0.08789166643958728
710,0.33479906429351536
711,0.12450622834874545
712,0.20959278363214642
713,0.07005327227966035
714,0.09551601776859585
715,0.11648021830696642
716,0.12160221824140634
717,0.36204713656541254
718,0.13365897776129687
719,0.37120795689032593
720,0.15613750370342339
721,0.1366281557961169
722,0.11346966587212115
723,0.2937836154657703
724,0.10461674946617545
725,0.294386497762634
726,0.19969759542187798
727,0.20619165276181114
728,0.09640640352139454
729,0.20580520656964
730,0.2542074318795339
731,0.14071084560706704
732,0.6605558886950599
733,0.09691551245641812
734,0.12278893813369915
735,0.11885796296366757
736,0.0978085152331053
737,0.3879940453043216
738,0.11509423151677821
739,0.1729520740552155
740,0.046511975321196754
741,0.06583505913913039
742,0.24317414204141535
743,0.062040981644493655
744,0.08834107136443542
745,0.11782753347446308
746,0.16997158916802907
747,0.17255735059130378
748,0.20890137714592855
749,0.2873861061537548
750,0.09567021883285406
751,0.07993184653975591
754,0.06248693096325065
755,0.27430361194614244
756,0.26450060008067955
757,0.2016697170147563
758,0.14822287900339404
759,0.052477310132749956
760,0.042388637680863164
761,0.13195514483703877
762,0.5525178339693866
763,0.19965130947539433
764,0.21126101223572522
765,0.11344745844571763
766,0.21587512218377092
767,0.042605584980987585
768,0.4326189243574607
769,0.18771149672555693
770,0.12908149318289525
771,0.066602657160931
772,0.2503945863711196
773,0.15255966605382268
774,0.09881820320939802
775,0.11572986207267452
776,0.16325453965127723
777,0.08277728790905002
779,0.1444990728474792
780,0.2976014532253015
781,0.047228076790070746
782,0.2313750416077255
783,0.24027919997481825
784,0.3139131864443606
785,1.1741586486725246
786,0.33533620872384756
787,0.3608480979882849
789,0.519845565629034
790,0.224228324687641
792,0.21227353248875971
793,0.09553715969569011
794,0.01945049898478207
795,0.08734007247373872
796,0.1158274704453247
797,0.1284293769597042
798,0.1899685121661667
799,0.09396181702389873
800,0.24594552448806833
801,0.13921682213991826
802,0.2487604752960556
803,0.09087320606928521
804,0.35348910918919424
805,0.18144653983283876
806,0.1731680564285256
807,0.2833167917469865
809,0.08354070205243774
810,0.1474604412862617
811,0.36174503144785214
812,0.16113919049690723
813,0.08195468324583005
814,0.20838151111179914
815,0.3977521459767904
816,0.09439554990542445
817,0.26583898626082114
818,0.8455785281563687
819,0.16229107954075953
820,0.14278363640611832
821,0.5903806676371371
826,0.4129665564461781
827,0.29380133696848815
828,0.2397443501008386
829,0.07360760831346752
830,0.17121062644684815
831,0.16893152559144617
832,0.35654852813253257
833,0.3390727485163472
834,0.3530008560987296
835,0.12986898318463508
836,0.15934721733614443
838,0.0783057263387436
839,0.2579092100531553
840,0.03929565166172918
841,0.014705626974184094
