,alpha,beta,lambda
1,0.014105584211228333,0.02301814450394308,0.005462485599069215
2,0.021211544692713784,0.023020779569464144,0.003801893930019313
3,0.019415470445194448,0.027978887440940556,0.004185151013843701
4,0.22669273306146007,0.9426895405988711,0.012929901943356378
5,0.022903265383339314,0.02607711223270739,0.006238756738192807
6,0.019877238881675183,0.024379850369854923,0.00629661773480605
7,0.1298994244658351,0.4226991680699751,0.017105426548504995
8,0.022882142328128432,0.02666658736342031,0.008523919328312585
9,0.35793860230789243,0.9825980665528677,0.016191437721057397
10,0.29115988257109476,0.7717231625863517,0.015048368000132279
11,0.014346239828370392,0.017854195709840703,0.004654999222190903
12,0.014734645520913185,0.01812535923594873,0.00428844415761166
13,0.1535675422068299,0.7521819653595835,0.013208583857626863
14,0.032985708917022884,0.03866235216609299,0.011579779697698961
15,0.13470430790097201,0.4327679559476121,0.015256674244215306
16,0.015140282611769132,0.02080268619103882,0.007088418591546313
17,0.017748681405738348,0.02181700679257492,0.00772816510491409
18,0.022815613950151817,0.026053172565498134,0.007388591514115262
19,0.01115183194102632,0.01730928752258651,0.0033981494221851007
20,0.10127151922373118,0.4604382496538151,0.01032685462489285
22,0.013618371623248934,0.016625172446434903,0.005633485693083007
23,0.009977728890732392,0.01656632402078643,0.005266942724523204
24,0.01605832846535035,0.020263620328551085,0.005789043773997628
25,0.10530587183585118,0.31392827928068623,0.018225246448775437
26,0.12393460391203379,0.6505397724952119,0.015385037126035797
27,0.022017809414510134,0.030290694444289334,0.005393555067159674
28,0.01921427146478622,0.022895256947190534,0.006303160303064858
29,0.01628800245449253,0.021339336186910658,0.007646053095051396
30,0.014179902160974723,0.02046542960139111,0.00732486729478099
31,0.017575696991680587,0.022411136872109362,0.007514374519867099
32,0.019057894668873507,0.024444002861516368,0.008985058574623091
33,0.1395842554293968,0.4915051476661386,0.026480588591889898
34,0.16050765896971927,0.8101292804661463,0.01605431625833272
36,0.019804284978436608,0.02375263023949187,0.006397251502825095
37,0.015857482771513002,0.020615418234434184,0.00828280152151566
38,0.11010857249159393,0.5212657912836265,0.016578869353399257
39,0.02403392107440299,0.0301639101652728,0.013540437879694674
40,0.018491274590388785,0.023865846607405233,0.007449480518838137
41,0.01800733795877447,0.026125898948311223,0.0042816332086791
42,0.014950456842586985,0.020011736639491563,0.0064107712543801515
43,0.01820889351944422,0.021913450775174766,0.006942915078591717
44,0.028491208014378832,0.03712223783878362,0.005388621879784901
45,0.02272115281569082,0.028232319199828472,0.006188334137464163
46,0.019291018864893154,0.022333663798439266,0.005963634776630963
47,0.02219006246271347,0.025470997379899635,0.006656877864555778
48,0.2886570437492105,0.758884469691721,0.020882912230827826
49,0.02329213144644511,0.029208620570057443,0.005292257726051126
50,0.01322120059354042,0.021101823627997163,0.007291915907609886
51,0.14021141236262794,0.8286655275517153,0.012297696553077076
52,0.012390472176689695,0.01756443291376059,0.006376887853634945
53,0.025445309190450176,0.03503115870133379,0.004413827119632595
54,0.012760382657689457,0.016892448998550684,0.005143183200112542
55,0.025405662115379604,0.029763987735266742,0.006863715410620145
56,0.017000187858198623,0.02138618649365126,0.006852729998516973
57,0.019082824737630476,0.023024161852593577,0.005435655938084596
58,0.018299541896829846,0.02264610601394135,0.007166862512599457
60,0.18456923940355544,0.8734453883595572,0.01248703803161012
61,0.015349456485309845,0.022998164924068903,0.008741519133397383
62,0.12612745722718416,0.8881009137366203,0.01786757078126007
63,0.011635356663266585,0.018075243577151782,0.0070765960422790024
64,0.1853785016486407,0.44761257767146456,0.03403893346949237
66,0.02143066359556072,0.025307616743598587,0.005454255905220586
67,0.014984542843397867,0.01903466829948043,0.005380866519560638
68,0.016407357180120142,0.02071893576748535,0.006616264885152909
69,0.14187540388664194,0.568670657521487,0.012975493900157441
70,0.1144292920338468,0.610873347009117,0.010774583836120928
71,0.025317015703603243,0.030518943359242726,0.006695064651796385
72,0.14377111779539084,0.633902960527843,0.015076863656415954
73,0.0186693834457037,0.022442978494226537,0.007793129647744473
74,0.026868311842113572,0.030066083660797372,0.009940150880639072
75,0.0161847495887881,0.02274474174715422,0.00634692219096238
76,0.10324218005081261,0.3401885430296539,0.01236457518684093
77,0.016642808526278967,0.019906626851237254,0.005675545190865602
78,0.01243335035493263,0.017620415860879642,0.005576111600773116
79,0.17687105653347915,0.6199088183759074,0.01042151740224131
80,0.016127778642005444,0.020901995605871228,0.006637916933705429
81,0.014775424407243302,0.019829232832392466,0.006231289149560806
82,0.013480777052477395,0.018660993057393084,0.0028191212580789514
83,0.07144607276497873,0.09190879964233067,0.014985765966643867
84,0.014552617725321454,0.0224537101951581,0.003979170352583643
85,0.023025909298435294,0.028668428665057463,0.01011702597561546
86,0.1273766806824343,0.6238082648752901,0.014687074462507612
87,0.018203914620032666,0.025026488667742264,0.006777474835149489
88,0.021854142056378405,0.02523472152479329,0.0067450021421316215
89,0.014699628687409379,0.020875422946189354,0.007706315006126976
90,0.22312634289505265,1.2228496745247754,0.0075376211924775794
91,0.10580076494126214,0.5400291346103306,0.021936974277740315
92,0.01458207717984438,0.019370149700691282,0.006320501859818604
93,0.0177099240444689,0.02540365523011276,0.006620077335324736
94,0.021074455003252036,0.025634295401527746,0.00933991591723091
95,0.01412783879277369,0.017945512464578425,0.006724200415533507
96,0.014240014952565027,0.018685623715011965,0.004415788792083016
